"Publisher ID","Publisher Name","Keyword ID","Keyword","Match Type","Campaign","Keyword Group","Category","Bid Strategy","Status","Search Engine Bid","Clicks","Avg Cost per Click","Impressions","Engine Click Thru Percent","Avg Pos","Trans Conv Percent","Total Cost/Trans","Amount","Total Cost","Total Volume of Bookings"
"K435","Google - US","43000000014116465","france air flight","Broad","Geo Targeted Los Angeles","Los Angeles to France Sale","uncategorized","Position 5-10 Bid Strategy","Unavailable",6.25,9,1.38,67,13.43,1.14,11.11,12.42,483.65,12.42,1
"K435","Google - US","43000000013068726","[air france]","Exact","Air France Branded","Air France Brand","uncategorized","No Strategy","Live",27.5,30418,0.44,188409,16.14,1.27,1.44,30.38,515791.9,13336.81,439
"K435","Google - US","43000000013136087","airfrance tickets","Broad","Air France Branded","Air France Brand","uncategorized","Position 1-2 Target","Live",0.93,33,0.89,241,13.69,1.19,3.03,29.26,1123.7,29.26,1
"K435","Google - US","43000000013068860","airfrance airline","Broad","Air France Branded","Air France Brand","uncategorized","Position 1-2 Target","Live",0.29,95,0.53,712,13.34,1.31,1.05,50.39,1887,50.39,1
"K2615","Yahoo - US","43000000039649216","international flight","Advanced","Geo Targeted Chicago","International Chicago","uncategorized","No Strategy","Live",6.25,86,1.38,1215,7.08,1.32,1.16,118.89,4403.85,118.89,1
"K1175","Google - Global","43000000005663445","airfrance","Broad","Air France Global Campaign","Air France","airfrance","Position 1-3","Unavailable",2.5,1383,0.72,23310,5.93,1.65,2.68,26.98,35357.45,998.39,37
"K2615","Yahoo - US","43000000027382601","airfrance.com","Advanced","Air France Branded","Air France Website","uncategorized","No Strategy","Live",7.5,4023,0.87,24934,16.13,1.27,2.11,41.08,121372.35,3491.79,85
"K1123","Overture - Global","43000000005420856","airline ticket to france","Advanced","Unassigned","Unassigned","france","Position 1-2 Target","Unavailable",7.5,43,0.85,825,5.21,1.79,2.33,36.76,1274.15,36.76,1
"K435","Google - US","43000000014126154","paris airfare","Broad","Geo Targeted Chicago","Chicago to Paris Sale","uncategorized","Position 5-10 Bid Strategy","Unavailable",6.25,24,1.85,194,12.37,1.71,4.17,44.51,1530,44.51,1
"K1123","Overture - Global","43000000005421316","air france reservation","Advanced","Unassigned","Unassigned","airfrance","Position 1-2 Target","Paused",0.45,302,0.59,22484,1.34,1.31,1.99,29.46,5888.8,176.77,6
