"","Publisher ID","Publisher Name","Keyword ID","Keyword","Match Type","Campaign","Keyword Group","Category","Bid Strategy","Status","Search Engine Bid","Clicks","Avg. Cost per Click","Impressions","Engine Click Thru %","Avg. Pos.","Trans. Conv. %","Total Cost/ Trans","Amount","Total Cost","Total Volume of Bookings"
"1394","K1175","Google - Global",4.3e+16,"paris cheap ticket","Broad","Air France Global Campaign","Paris","paris","Position 1- 3","Unavailable",3.75,43,1.97,1440,2.99,2.62,0,0,0,84.75,0
"1395","K1175","Google - Global",4.3e+16,"french airline","Broad","Air France Global Campaign","Air France","airfrance","Position 1- 3","Unavailable",3.75,233,2.67,18214,1.28,1.98,0,0,0,623.09,0
"1396","K1122","Overture - US",4.3e+16,"cheap paris airfare","Standard","Unassigned","Unassigned","paris","Position 1-4 Bid Strategy","Paused",4.45,33,1.8,1055,3.13,1.58,0,0,0,59.25,0
"1397","K1122","Overture - US",4.3e+16,"flight to france","Standard","Unassigned","Unassigned","france","Position 1-4 Bid Strategy","Paused",4.45,68,1.32,7142,0.95,1.24,0,0,0,89.74,0
"1398","K1122","Overture - US",4.3e+16,"ticket paris","Standard","Unassigned","Unassigned","paris","Position 1-4 Bid Strategy","Paused",4.45,73,1.46,2605,2.8,2.18,0,0,0,106.71,0
"1399","K1175","Google - Global",4.3e+16,"flights to lyon","Broad","Air France Brand & French Destinations","Lyon","uncategorized","No Strategy","Paused",5,1,0.8,15,6.67,1.95,0,0,0,0.8,0
"1400","K1175","Google - Global",4.3e+16,"flight to nice","Broad","Air France Brand & French Destinations","Nice","uncategorized","No Strategy","Paused",5,1,0.84,15,6.67,1.33,0,0,0,0.84,0
"1401","K1175","Google - Global",4.3e+16,"bordeaux flights","Broad","Air France Brand & French Destinations","Bordeaux","uncategorized","No Strategy","Paused",5,1,1.1,3,33.33,1,0,0,0,1.1,0
"1402","K1175","Google - Global",4.3e+16,"trips to nice","Broad","Air France Brand & French Destinations","Nice","uncategorized","No Strategy","Paused",5,1,1.21,2,50,1,0,0,0,1.21,0
"1403","K1175","Google - Global",4.3e+16,"fly to nice","Broad","Air France Brand & French Destinations","Nice","uncategorized","No Strategy","Paused",5,1,1.35,19,5.26,1.11,0,0,0,1.35,0
"1404","K1175","Google - Global",4.3e+16,"air france paris flights","Broad","Air France Brand & French Destinations","Paris Branded","uncategorized","No Strategy","Unavailable",5,1,1.44,5,20,1,0,0,0,1.44,0
"1405","K1175","Google - Global",4.3e+16,"airfrance site","Broad","Air France Brand & French Destinations","Air France Website","uncategorized","No Strategy","Unavailable",5,2,0.82,12,16.67,1,0,0,0,1.64,0
"1406","K1175","Google - Global",4.3e+16,"air france fare paris","Broad","Air France Brand & French Destinations","Paris Branded","uncategorized","No Strategy","Unavailable",5,1,1.94,8,12.5,1,0,0,0,1.94,0
"1407","K1175","Google - Global",4.3e+16,"cheapest flight to france","Broad","Air France Brand & French Destinations","France","uncategorized","No Strategy","Paused",5,2,1.03,3,66.67,1,0,0,0,2.05,0
"1408","K1175","Google - Global",4.3e+16,"nice cheap flights","Broad","Air France Brand & French Destinations","Nice","uncategorized","No Strategy","Paused",5,1,2.26,7,14.29,1,0,0,0,2.26,0
"1409","K1175","Google - Global",4.3e+16,"air france cheap tickets paris","Broad","Air France Brand & French Destinations","Paris Branded","uncategorized","No Strategy","Unavailable",5,1,2.29,4,25,1,0,0,0,2.29,0
"1410","K1175","Google - Global",4.3e+16,"nice flights","Broad","Air France Brand & French Destinations","Nice","uncategorized","No Strategy","Paused",5,1,3.4,17,5.88,1.17,0,0,0,3.4,0
"1411","K1175","Google - Global",4.3e+16,"nice flight","Broad","Air France Brand & French Destinations","Nice","uncategorized","No Strategy","Paused",5,4,0.88,86,4.65,1.05,0,0,0,3.51,0
"1412","K1175","Google - Global",4.3e+16,"airfrance to paris","Broad","Air France Brand & French Destinations","Paris Branded","uncategorized","No Strategy","Unavailable",5,4,1.13,30,13.33,1.13,0,0,0,4.53,0
"1413","K1175","Google - Global",4.3e+16,"bordeaux airlines","Broad","Air France Brand & French Destinations","Bordeaux","uncategorized","No Strategy","Paused",5,1,4.54,12,8.33,1,0,0,0,4.54,0
"1414","K1175","Google - Global",4.3e+16,"air france flight to paris","Broad","Air France Brand & French Destinations","Paris Branded","uncategorized","No Strategy","Unavailable",5,4,1.17,7,57.14,1.29,0,0,0,4.68,0
"1415","K1175","Google - Global",4.3e+16,"flights to bordeaux","Broad","Air France Brand & French Destinations","Bordeaux","uncategorized","No Strategy","Paused",5,2,2.64,12,16.67,1.43,0,0,0,5.28,0
"1416","K1175","Google - Global",4.3e+16,"airfrance tickets","Broad","Air France Brand & French Destinations","Air France Brand","uncategorized","No Strategy","Unavailable",5,8,0.73,34,23.53,1,0,0,0,5.83,0
"1417","K1175","Google - Global",4.3e+16,"air france flights to paris","Broad","Air France Brand & French Destinations","Paris Branded","uncategorized","No Strategy","Unavailable",5,4,1.78,7,57.14,1,0,0,0,7.13,0
"1418","K1175","Google - Global",4.3e+16,"travel to nice","Broad","Air France Brand & French Destinations","Nice","uncategorized","No Strategy","Paused",5,4,1.89,56,7.14,1.4,0,0,0,7.55,0
"1419","K1175","Google - Global",4.3e+16,"nice travel","Broad","Air France Brand & French Destinations","Nice","uncategorized","No Strategy","Paused",5,3,2.59,96,3.13,1.33,0,0,0,7.77,0
"1420","K1175","Google - Global",4.3e+16,"paris flight deal","Broad","Air France Brand & French Destinations","Paris","uncategorized","No Strategy","Unavailable",5,5,1.82,17,29.41,2.41,0,0,0,9.1,0
"1421","K1175","Google - Global",4.3e+16,"nice cheap ticket","Broad","Air France Global Campaign","Nice","nice","Position 1- 3","Unavailable",5,5,1.82,79,6.33,1.78,0,0,0,9.11,0
"1422","K1175","Google - Global",4.3e+16,"budget travel france","Broad","Air France Brand & French Destinations","France","uncategorized","No Strategy","Paused",5,4,2.32,101,3.96,1.32,0,0,0,9.26,0
"1423","K1175","Google - Global",4.3e+16,"paris france airport","Broad","Air France Brand & French Destinations","Paris","uncategorized","No Strategy","Unavailable",5,4,2.36,344,1.16,1.53,0,0,0,9.44,0
"1424","K1175","Google - Global",4.3e+16,"trip in france","Broad","Air France Brand & French Destinations","France","uncategorized","No Strategy","Paused",5,3,3.18,52,5.77,1.3,0,0,0,9.54,0
"1425","K1175","Google - Global",4.3e+16,"france holidays","Broad","Air France Brand & French Destinations","France","uncategorized","No Strategy","Paused",5,4,2.51,469,0.85,1.24,0,0,0,10.03,0
"1426","K1175","Google - Global",4.3e+16,"france airport","Broad","Air France Brand & French Destinations","France","uncategorized","No Strategy","Paused",5,6,1.93,306,1.96,1.24,0,0,0,11.6,0
"1427","K1175","Google - Global",4.3e+16,"flights to nice","Broad","Air France Brand & French Destinations","Nice","uncategorized","No Strategy","Paused",5,11,1.11,115,9.57,1.08,0,0,0,12.17,0
"1428","K1175","Google - Global",4.3e+16,"air france deal","Broad","Air France Brand & French Destinations","Air France Brand","uncategorized","No Strategy","Unavailable",5,6,2.11,61,9.84,2.31,0,0,0,12.64,0
"1429","K1175","Google - Global",4.3e+16,"paris travel information","Broad","Air France Brand & French Destinations","Paris","uncategorized","No Strategy","Unavailable",5,5,2.65,164,3.05,1.19,0,0,0,13.26,0
"1430","K1175","Google - Global",4.3e+16,"south france travel","Broad","Air France Brand & French Destinations","France","uncategorized","No Strategy","Paused",5,6,3.25,156,3.85,1.33,0,0,0,19.51,0
"1431","K1175","Google - Global",4.3e+16,"orlando to paris","Broad","Air France Brand & French Destinations","Paris","uncategorized","No Strategy","Unavailable",5,8,2.91,261,3.07,1.31,0,0,0,23.25,0
"1432","K1175","Google - Global",4.3e+16,"marseille airfare","Broad","Air France Global Campaign","Marseille","marseille","Position 1- 3","Unavailable",5,17,1.45,1232,1.38,1.2,0,0,0,24.67,0
"1433","K1175","Google - Global",4.3e+16,"airfrance airline","Broad","Air France Brand & French Destinations","Air France Brand","uncategorized","No Strategy","Unavailable",5,27,0.92,142,19.01,1.05,0,0,0,24.79,0
"1434","K1175","Google - Global",4.3e+16,"airfrance airlines","Broad","Air France Brand & French Destinations","Air France Brand","uncategorized","No Strategy","Unavailable",5,33,0.79,258,12.79,1.03,0,0,0,26.15,0
"1435","K1175","Google - Global",4.3e+16,"air france website","Broad","Air France Brand & French Destinations","Air France Website","uncategorized","No Strategy","Unavailable",5,38,0.69,138,27.54,1.05,0,0,0,26.37,0
"1436","K1175","Google - Global",4.3e+16,"france plane ticket","Broad","Air France Brand & French Destinations","France","uncategorized","No Strategy","Paused",5,12,2.46,91,13.19,1.89,0,0,0,29.52,0
"1437","K1175","Google - Global",4.3e+16,"newark to paris","Broad","Air France Brand & French Destinations","Paris","uncategorized","No Strategy","Unavailable",5,19,1.73,173,10.98,1.61,0,0,0,32.82,0
"1438","K1175","Google - Global",4.3e+16,"france airports","Broad","Air France Brand & French Destinations","France","uncategorized","No Strategy","Paused",5,30,1.13,1099,2.73,1.04,0,0,0,33.75,0
"1439","K1175","Google - Global",4.3e+16,"new york to paris flight","Broad","Air France Brand & French Destinations","Paris","uncategorized","No Strategy","Unavailable",5,15,2.63,109,13.76,1.05,0,0,0,39.44,0
"1440","K1175","Google - Global",4.3e+16,"paris airport","Broad","Air France Brand & French Destinations","Paris","uncategorized","No Strategy","Unavailable",5,21,2.28,3180,0.66,1.19,0,0,0,47.8,0
"1441","K1175","Google - Global",4.3e+16,"paris plane ticket","Broad","Air France Global Campaign","Paris","paris","Position 1- 3","Unavailable",5,27,1.85,288,9.38,2.63,0,0,0,50,0
"1442","K1175","Google - Global",4.3e+16,"paris france tourism","Broad","Air France Brand & French Destinations","Paris","uncategorized","No Strategy","Unavailable",5,28,1.81,1074,2.61,1.54,0,0,0,50.77,0
"1443","K1175","Google - Global",4.3e+16,"lyon cheap flights","Broad","Air France Global Campaign","Lyon","lyon","Position 1- 3","Unavailable",5,32,1.71,3529,0.91,1.2,0,0,0,54.78,0
"1444","K1175","Google - Global",4.3e+16,"paris airports","Broad","Air France Brand & French Destinations","Paris","uncategorized","No Strategy","Unavailable",5,20,2.74,986,2.03,1.08,0,0,0,54.8,0
"1445","K1175","Google - Global",4.3e+16,"air france to paris","Broad","Air France Brand & French Destinations","Paris Branded","uncategorized","No Strategy","Unavailable",5,43,1.49,272,15.81,1.08,0,0,0,63.99,0
"1446","K1175","Google - Global",4.3e+16,"france cheap ticket","Broad","Air France Brand & French Destinations","France","uncategorized","No Strategy","Paused",5,21,3.13,176,11.93,1.58,0,0,0,65.7,0
"1447","K1175","Google - Global",4.3e+16,"france fare","Broad","Air France Brand & French Destinations","France","uncategorized","No Strategy","Paused",5,27,2.45,301,8.97,1.38,0,0,0,66.09,0
"1448","K1175","Google - Global",4.3e+16,"paris travel deal","Broad","Air France Brand & French Destinations","Paris","uncategorized","No Strategy","Unavailable",5,23,3.55,126,18.25,2.07,0,0,0,81.54,0
"1449","K1175","Google - Global",4.3e+16,"france ticket","Broad","Air France Brand & French Destinations","France","uncategorized","No Strategy","Paused",5,30,2.82,573,5.24,1.56,0,0,0,84.53,0
"1450","K1175","Google - Global",4.3e+16,"bordeaux travel","Broad","Air France Global Campaign","Bordeaux","bordeaux","Position 1- 3","Unavailable",5,29,3.17,7494,0.39,1.56,0,0,0,91.85,0
"1451","K1175","Google - Global",4.3e+16,"france plane tickets","Broad","Air France Brand & French Destinations","France","uncategorized","No Strategy","Paused",5,31,3.09,323,9.6,2.83,0,0,0,95.86,0
"1452","K1175","Google - Global",4.3e+16,"france cheap flight","Broad","Air France Brand & French Destinations","France","uncategorized","No Strategy","Paused",5,36,2.86,226,15.93,1.29,0,0,0,103.14,0
"1453","K1175","Google - Global",4.3e+16,"paris cheap flight","Broad","Air France Global Campaign","Paris","paris","Position 1- 3","Unavailable",5,95,1.29,2426,3.92,2.74,0,0,0,122.36,0
"1454","K1175","Google - Global",4.3e+16,"ticket to france","Broad","Air France Brand & French Destinations","France","uncategorized","No Strategy","Paused",5,40,3.17,411,9.73,1.83,0,0,0,126.74,0
"1455","K1175","Google - Global",4.3e+16,"trip to france","Broad","Air France Brand & French Destinations","France","uncategorized","No Strategy","Paused",5,51,2.63,1018,5.01,1.51,0,0,0,134.35,0
"1456","K1175","Google - Global",4.3e+16,"france airline","Broad","Air France Brand & French Destinations","France","uncategorized","No Strategy","Paused",5,60,2.35,1247,4.81,1.27,0,0,0,141.27,0
"1457","K1175","Google - Global",4.3e+16,"france fares","Broad","Air France Brand & French Destinations","France","uncategorized","No Strategy","Paused",5,60,2.58,446,13.45,1.42,0,0,0,154.64,0
"1458","K1175","Google - Global",4.3e+16,"france trip","Broad","Air France Brand & French Destinations","France","uncategorized","No Strategy","Paused",5,54,2.9,952,5.67,1.65,0,0,0,156.67,0
"1459","K1175","Google - Global",4.3e+16,"air france deals","Broad","Air France Brand & French Destinations","Air France Brand","uncategorized","No Strategy","Unavailable",5,61,2.77,415,14.7,1.79,0,0,0,168.87,0
"1460","K1175","Google - Global",4.3e+16,"france airfares","Broad","Air France Brand & French Destinations","France","uncategorized","No Strategy","Paused",5,63,2.73,440,14.32,1.37,0,0,0,171.84,0
"1461","K1175","Google - Global",4.3e+16,"trips to france","Broad","Air France Brand & French Destinations","France","uncategorized","No Strategy","Paused",5,62,3.36,954,6.5,3.02,0,0,0,208.4,0
"1462","K1175","Google - Global",4.3e+16,"france flight","Broad","Air France Brand & French Destinations","France","uncategorized","No Strategy","Paused",5,73,2.93,1291,5.65,1.41,0,0,0,213.79,0
"1463","K1175","Google - Global",4.3e+16,"fly to france","Broad","Air France Brand & French Destinations","France","uncategorized","No Strategy","Paused",5,92,2.33,873,10.54,1.29,0,0,0,214.09,0
"1464","K1175","Google - Global",4.3e+16,"visit paris","Broad","Air France Brand & French Destinations","Paris","uncategorized","No Strategy","Unavailable",5,66,3.29,1800,3.67,1.1,0,0,0,217.32,0
"1465","K1175","Google - Global",4.3e+16,"france tickets","Broad","Air France Brand & French Destinations","France","uncategorized","No Strategy","Paused",5,96,2.96,1580,6.08,1.75,0,0,0,283.73,0
"1466","K1175","Google - Global",4.3e+16,"paris ticket","Broad","Air France Global Campaign","Paris","paris","Position 1- 3","Unavailable",5,161,2.25,6987,2.3,1.94,0,0,0,361.85,0
"1467","K1175","Google - Global",4.3e+16,"paris fare","Broad","Air France Brand & French Destinations","Paris","uncategorized","No Strategy","Unavailable",5,147,2.54,1386,10.61,1.47,0,0,0,372.84,0
"1468","K1175","Google - Global",4.3e+16,"paris trip","Broad","Air France Brand & French Destinations","Paris","uncategorized","No Strategy","Unavailable",5,122,3.43,1783,6.84,1.59,0,0,0,418.06,0
"1469","K1175","Google - Global",4.3e+16,"travel in paris","Broad","Air France Brand & French Destinations","Paris","uncategorized","No Strategy","Unavailable",5,128,3.35,3870,3.31,1.67,0,0,0,429.14,0
"1470","K1175","Google - Global",4.3e+16,"paris france travel","Broad","Air France Brand & French Destinations","Paris","uncategorized","No Strategy","Unavailable",5,141,3.34,2442,5.77,1.66,0,0,0,470.64,0
"1471","K1175","Google - Global",4.3e+16,"france airfare","Broad","Air France Brand & French Destinations","France","uncategorized","No Strategy","Paused",5,197,2.65,1524,12.93,1.5,0,0,0,522.14,0
"1472","K1175","Google - Global",4.3e+16,"trips to paris","Broad","Air France Brand & French Destinations","Paris","uncategorized","No Strategy","Unavailable",5,175,3.35,1501,11.66,2.41,0,0,0,586.57,0
"1473","K1175","Google - Global",4.3e+16,"france cheap tickets","Broad","Air France Brand & French Destinations","France","uncategorized","No Strategy","Paused",5,184,3.42,1334,13.79,1.54,0,0,0,629.26,0
"1474","K1175","Google - Global",4.3e+16,"flight to paris","Broad","Air France Brand & French Destinations","Paris","uncategorized","No Strategy","Unavailable",5,264,2.54,2400,11,1.4,0,0,0,669.75,0
"1475","K1175","Google - Global",4.3e+16,"travel to france","Broad","Air France Brand & French Destinations","France","uncategorized","No Strategy","Paused",5,240,3.11,4274,5.62,2.16,0,0,0,745.84,0
"1476","K1175","Google - Global",4.3e+16,"trip to paris","Broad","Air France Brand & French Destinations","Paris","uncategorized","No Strategy","Unavailable",5,215,3.54,2132,10.08,1.51,0,0,0,760.24,0
"1477","K1175","Google - Global",4.3e+16,"french airlines","Broad","Air France Brand & French Destinations","Air France Brand","uncategorized","No Strategy","Unavailable",5,330,3,8498,3.88,1.44,0,0,0,989.54,0
"1478","K1175","Google - Global",4.3e+16,"france flights","Broad","Air France Brand & French Destinations","France","uncategorized","No Strategy","Paused",5,351,3.73,3087,11.37,1.65,0,0,0,1310.36,0
"1479","K435","Google - US",4.3e+16,"paris air flights","Broad","Geo Targeted Seattle","Seattle to Paris Sale","uncategorized","Position 2-5 Bid Strategy","Paused",5,1,1.13,7,14.29,1,0,0,0,1.13,0
"1480","K435","Google - US",4.3e+16,"paris flight specials","Broad","Geo Targeted Seattle","Seattle to Paris Sale","uncategorized","Position 2-5 Bid Strategy","Paused",5,1,1.36,5,20,1.4,0,0,0,1.36,0
"1481","K435","Google - US",4.3e+16,"paris flight deals","Broad","Geo Targeted Seattle","Seattle to Paris Sale","uncategorized","Position 2-5 Bid Strategy","Paused",5,1,1.38,12,8.33,2.42,0,0,0,1.38,0
"1482","K435","Google - US",4.3e+16,"paris airplane tickets","Broad","Geo Targeted Seattle","Seattle to Paris Sale","uncategorized","Position 2-5 Bid Strategy","Paused",5,1,2.05,5,20,1.6,0,0,0,2.05,0
"1483","K435","Google - US",4.3e+16,"paris cheap fare","Broad","Geo Targeted Seattle","Seattle to Paris Sale","uncategorized","Position 2-5 Bid Strategy","Paused",5,1,2.18,7,14.29,2.29,0,0,0,2.18,0
"1484","K435","Google - US",4.3e+16,"paris cheap air tickets","Broad","Geo Targeted Seattle","Seattle to Paris Sale","uncategorized","Position 2-5 Bid Strategy","Paused",5,1,2.55,1,100,1,0,0,0,2.55,0
"1485","K435","Google - US",4.3e+16,"paris cheap fares","Broad","Geo Targeted Seattle","Seattle to Paris Sale","uncategorized","Position 2-5 Bid Strategy","Paused",5,1,2.86,12,8.33,1.25,0,0,0,2.86,0
"1486","K435","Google - US",4.3e+16,"paris cheap air flights","Broad","Geo Targeted Seattle","Seattle to Paris Sale","uncategorized","Position 2-5 Bid Strategy","Paused",5,1,3.33,1,100,1,0,0,0,3.33,0
"1487","K435","Google - US",4.3e+16,"air france ticket rome","Broad","Western Europe Destinations","Rome Branded","uncategorized","Position 5-10 Bid Strategy","Unavailable",5,1,4.4,6,16.67,1.33,0,0,0,4.4,0
"1488","K435","Google - US",4.3e+16,"paris air fares","Broad","Geo Targeted Seattle","Seattle to Paris Sale","uncategorized","Position 2-5 Bid Strategy","Paused",5,3,1.92,10,30,1.3,0,0,0,5.76,0
"1489","K435","Google - US",4.3e+16,"paris cheap ticket","Broad","Geo Targeted Seattle","Seattle to Paris Sale","uncategorized","Position 2-5 Bid Strategy","Paused",5,2,2.91,24,8.33,1.88,0,0,0,5.81,0
"1490","K435","Google - US",4.3e+16,"paris air flight","Broad","Geo Targeted Seattle","Seattle to Paris Sale","uncategorized","Position 2-5 Bid Strategy","Paused",5,3,2.15,21,14.29,1.57,0,0,0,6.44,0
"1491","K435","Google - US",4.3e+16,"paris cheap airlines","Broad","Geo Targeted Seattle","Seattle to Paris Sale","uncategorized","Position 2-5 Bid Strategy","Paused",5,3,2.86,7,42.86,1.29,0,0,0,8.59,0
"1492","K435","Google - US",4.3e+16,"paris cheap airline","Broad","Geo Targeted Seattle","Seattle to Paris Sale","uncategorized","Position 2-5 Bid Strategy","Paused",5,4,2.93,13,30.77,2,0,0,0,11.71,0
"1493","K435","Google - US",4.3e+16,"paris airport","Broad","Geo Targeted Seattle","Seattle to Paris Sale","uncategorized","Position 2-5 Bid Strategy","Paused",5,6,2.41,310,1.94,1.29,0,0,0,14.49,0
"1494","K435","Google - US",4.3e+16,"paris plane tickets","Broad","Geo Targeted Seattle","Seattle to Paris Sale","uncategorized","Position 2-5 Bid Strategy","Paused",5,7,2.13,49,14.29,1.94,0,0,0,14.88,0
"1495","K435","Google - US",4.3e+16,"paris airfares","Broad","Geo Targeted Seattle","Seattle to Paris Sale","uncategorized","Position 2-5 Bid Strategy","Paused",5,9,1.67,62,14.52,1.76,0,0,0,15.06,0
"1496","K435","Google - US",4.3e+16,"paris airline tickets","Broad","Geo Targeted Seattle","Seattle to Paris Sale","uncategorized","Position 2-5 Bid Strategy","Paused",5,9,1.75,56,16.07,1.86,0,0,0,15.77,0
"1497","K435","Google - US",4.3e+16,"paris air fare","Broad","Geo Targeted Seattle","Seattle to Paris Sale","uncategorized","Position 2-5 Bid Strategy","Paused",5,8,1.98,45,17.78,1.49,0,0,0,15.85,0
"1498","K435","Google - US",4.3e+16,"paris cheap flight","Broad","Geo Targeted Seattle","Seattle to Paris Sale","uncategorized","Position 2-5 Bid Strategy","Paused",5,7,2.37,186,3.76,4.12,0,0,0,16.56,0
"1499","K435","Google - US",4.3e+16,"paris airline ticket","Broad","Geo Targeted Seattle","Seattle to Paris Sale","uncategorized","Position 2-5 Bid Strategy","Paused",5,4,4.28,9,44.44,1.78,0,0,0,17.13,0
"1500","K435","Google - US",4.3e+16,"paris cheap airfare","Broad","Geo Targeted Seattle","Seattle to Paris Sale","uncategorized","Position 2-5 Bid Strategy","Paused",5,8,2.44,44,18.18,1.27,0,0,0,19.55,0
"1501","K435","Google - US",4.3e+16,"paris airports","Broad","Geo Targeted Seattle","Seattle to Paris Sale","uncategorized","Position 2-5 Bid Strategy","Paused",5,6,3.31,132,4.55,1.05,0,0,0,19.85,0
"1502","K435","Google - US",4.3e+16,"paris airline","Broad","Geo Targeted Seattle","Seattle to Paris Sale","uncategorized","Position 2-5 Bid Strategy","Paused",5,9,2.23,239,3.77,1.31,0,0,0,20.04,0
"1503","K435","Google - US",4.3e+16,"paris fare","Broad","Geo Targeted Seattle","Seattle to Paris Sale","uncategorized","Position 2-5 Bid Strategy","Paused",5,6,3.5,98,6.12,1.44,0,0,0,21,0
"1504","K435","Google - US",4.3e+16,"paris ticket","Broad","Geo Targeted Seattle","Seattle to Paris Sale","uncategorized","Position 2-5 Bid Strategy","Paused",5,11,2.53,150,7.33,1.68,0,0,0,27.84,0
"1505","K435","Google - US",4.3e+16,"paris cheap tickets","Broad","Geo Targeted Seattle","Seattle to Paris Sale","uncategorized","Position 2-5 Bid Strategy","Paused",5,22,1.75,178,12.36,2.59,0,0,0,38.49,0
"1506","K435","Google - US",4.3e+16,"paris airlines","Broad","Geo Targeted Seattle","Seattle to Paris Sale","uncategorized","Position 2-5 Bid Strategy","Paused",5,44,2.12,392,11.22,1.62,0,0,0,93.4,0
"1507","K435","Google - US",4.3e+16,"paris cheap flights","Broad","Geo Targeted Seattle","Seattle to Paris Sale","uncategorized","Position 2-5 Bid Strategy","Paused",5,55,1.95,289,19.03,1.11,0,0,0,107.27,0
"1508","K435","Google - US",4.3e+16,"paris airfare","Broad","Geo Targeted Seattle","Seattle to Paris Sale","uncategorized","Position 2-5 Bid Strategy","Paused",5,61,1.93,483,12.63,1.86,0,0,0,117.77,0
"1509","K435","Google - US",4.3e+16,"paris flights","Broad","Geo Targeted Seattle","Seattle to Paris Sale","uncategorized","Position 2-5 Bid Strategy","Paused",5,129,2.03,976,13.22,1.7,0,0,0,262.44,0
"1510","K2615","Yahoo - US",4.3e+16,"paris cheap flight deal","Advanced","Geo Targeted Seattle","Seattle to Paris Sale","uncategorized","No Strategy","Paused",5,1,0.35,1,100,1,0,0,0,0.35,0
"1511","K435","Google - US",4.3e+16,"air france deals","Broad","Air France Branded","Air France Brand","uncategorized","Position 1 -2 Target","Paused",5.46,278,2.56,2455,11.32,1.94,0,0,0,711.09,0
"1512","K1175","Google - Global",4.3e+16,"tour de france trip","Broad","Air France Global Campaign","Tour de France","uncategorized","No Strategy","Unavailable",6.25,1,1.31,6,16.67,1.33,0,0,0,1.31,0
"1513","K1175","Google - Global",4.3e+16,"tour de france travel","Broad","Air France Global Campaign","Tour de France","uncategorized","No Strategy","Unavailable",6.25,1,2.4,41,2.44,1.07,0,0,0,2.4,0
"1514","K1175","Google - Global",4.3e+16,"tou de france","Broad","Air France Global Campaign","Tour de France","uncategorized","No Strategy","Unavailable",6.25,1,2.55,21,4.76,1,0,0,0,2.55,0
"1515","K1175","Google - Global",4.3e+16,"toure de france","Broad","Air France Global Campaign","Tour de France","uncategorized","No Strategy","Unavailable",6.25,1,3.3,21,4.76,1.04,0,0,0,3.3,0
"1516","K1175","Google - Global",4.3e+16,"bordeaux airfare","Broad","Air France Global Campaign","Bordeaux","bordeaux","Position 1- 3","Unavailable",6.25,4,0.99,197,2.03,1.62,0,0,0,3.96,0
"1517","K1175","Google - Global",4.3e+16,"tour de france vacation","Broad","Air France Global Campaign","Tour de France","uncategorized","No Strategy","Unavailable",6.25,3,2.38,14,21.43,1,0,0,0,7.13,0
"1518","K1175","Google - Global",4.3e+16,"tour de franc","Broad","Air France Global Campaign","Tour de France","uncategorized","No Strategy","Unavailable",6.25,5,1.5,39,12.82,1.03,0,0,0,7.5,0
"1519","K1175","Google - Global",4.3e+16,"tours de france","Broad","Air France Global Campaign","Tour de France","uncategorized","No Strategy","Unavailable",6.25,4,4.05,124,3.23,1.32,0,0,0,16.21,0
"1520","K1175","Google - Global",4.3e+16,"france plane ticket","Broad","Air France Global Campaign","France","france","Position 1- 3","Unavailable",6.25,14,3.05,295,4.75,2.87,0,0,0,42.71,0
"1521","K1175","Google - Global",4.3e+16,"de france tour","Broad","Air France Global Campaign","Tour de France","uncategorized","No Strategy","Unavailable",6.25,28,2.05,751,3.73,1.67,0,0,0,57.5,0
"1522","K1175","Google - Global",4.3e+16,"tour airline","Broad","Air France Global Campaign","Tour de France","uncategorized","No Strategy","Unavailable",6.25,14,4.72,2704,0.52,2.25,0,0,0,66.02,0
"1523","K1175","Google - Global",4.3e+16,"france fares","Broad","Air France Global Campaign","France","france","Position 1- 3","Unavailable",6.25,238,3.01,4699,5.06,2.22,0,0,0,717.17,0
"1524","K1175","Google - Global",4.3e+16,"tour de france","Broad","Air France Global Campaign","Tour de France","uncategorized","No Strategy","Unavailable",6.25,958,3.29,17901,5.35,1.39,0,0,0,3151.79,0
"1525","K435","Google - US",4.3e+16,"france fare","Broad","Geo Targeted Boston","Boston to France Sale","uncategorized","Position 5-10 Bid Strategy","Unavailable",6.25,1,0.05,12,8.33,1.06,0,0,0,0.05,0
"1526","K435","Google - US",4.3e+16,"france air flights","Broad","Geo Targeted Miami","Miami to France Sale","uncategorized","Position 5-10 Bid Strategy","Paused",6.25,1,0.11,15,6.67,1.21,0,0,0,0.11,0
"1527","K435","Google - US",4.3e+16,"turkey airport","Broad","Western Europe Destinations","Turkey","uncategorized","Position 5-10 Bid Strategy","Unavailable",6.25,1,0.13,41,2.44,2.07,0,0,0,0.13,0
"1528","K435","Google - US",4.3e+16,"france airport","Broad","Geo Targeted Boston","Boston to France Sale","uncategorized","Position 5-10 Bid Strategy","Unavailable",6.25,1,0.18,12,8.33,1.58,0,0,0,0.18,0
"1529","K435","Google - US",4.3e+16,"milan airport","Broad","Western Europe Destinations","Milan","uncategorized","Position 5-10 Bid Strategy","Unavailable",6.25,1,0.2,883,0.11,3.99,0,0,0,0.2,0
"1530","K435","Google - US",4.3e+16,"france air flight","Broad","Geo Targeted Philadelphia","Philadelphia to France Sale","uncategorized","Position 5-10 Bid Strategy","Paused",6.25,1,0.21,8,12.5,1.38,0,0,0,0.21,0
"1531","K435","Google - US",4.3e+16,"milan cheap flight","Broad","Western Europe Destinations","Milan","uncategorized","Position 5-10 Bid Strategy","Unavailable",6.25,1,0.23,156,0.64,6.13,0,0,0,0.23,0
