"","Publisher ID","Publisher Name","Keyword ID","Keyword","Match Type","Campaign","Keyword Group","Category","Bid Strategy","Status","Search Engine Bid","Clicks","Avg. Cost per Click","Impressions","Engine Click Thru %","Avg. Pos.","Trans. Conv. %","Total Cost/ Trans","Amount","Total Cost","Total Volume of Bookings"
"212","K435","Google - US",4.3e+16,"italy airline","Broad","Western Europe Destinations","Italy","uncategorized","Position 5-10 Bid Strategy","Unavailable",0,246,1.5,8589,2.86,3.94,0.81,183.91,1922.7,367.81,2
"213","K435","Google - US",4.3e+16,"france airfares","Broad","Paris & France Terms","France","uncategorized","Pos 3-6","Unavailable",10,196,2.85,1919,10.21,1.22,1.53,186.37,2912.1,559.1,3
"214","K435","Google - US",4.3e+16,"flight to paris","Broad","Paris & France Terms","Paris","uncategorized","Position 5-10 Bid Strategy","Live",10,1638,2.9,13911,11.77,1.18,0.61,475.83,24002.3,4758.31,10
"215","K435","Google - US",4.3e+16,"italy airfares","Broad","Western Europe Destinations","Italy","uncategorized","Postiion 1-4 Bid Strategy","Unavailable",11.25,282,2.37,3048,9.25,2.69,0.71,334.49,3294.6,668.99,2
"216","K2615","Yahoo - US",4.3e+16,"french airline","Advanced","Air France Branded","Air France Brand","uncategorized","No Strategy","Live",6.25,96,0.89,1532,6.27,1.27,2.08,42.74,418.2,85.47,2
"217","K435","Google - US",4.3e+16,"paris airfares","Broad","Paris & France Terms","Paris","uncategorized","Position 5-10 Bid Strategy","Live",10,209,2.11,1705,12.26,1.42,1.44,146.85,2085.05,440.54,3
"218","K1175","Google - Global",4.3e+16,"paris cheap ticket","Broad","Air France Brand & French Destinations","Paris","uncategorized","No Strategy","Unavailable",5,73,2.42,613,11.91,2.07,2.74,88.47,833.85,176.95,2
"219","K1175","Google - Global",4.3e+16,"france fare","Broad","Air France Global Campaign","France","france","Position 1- 3","Unavailable",3.75,145,2.65,4976,2.91,2.23,1.38,191.76,1800.3,383.53,2
"220","K435","Google - US",4.3e+16,"air france","Broad","Air France Branded","Air France Website","uncategorized","No Strategy","Paused",15,3592,2.27,36049,9.96,1.04,0.81,281.53,35926.95,8164.44,29
"221","K1175","Google - Global",4.3e+16,"paris plane tickets","Broad","Air France Global Campaign","Paris","paris","Position 1- 3","Unavailable",3.75,38,2.81,350,10.86,2.48,2.63,106.64,467.5,106.64,1
