Publisher ID,Publisher Name,Keyword ID,Keyword,Match Type,Campaign,Keyword Group,Category,Bid Strategy,Keyword Type,Status,Search Engine Bid,Clicks,Click Charges,Avg. Cost per Click,Impressions,Engine Click Thru %,Avg. Pos.,Trans. Conv. %,Total Cost/ Trans,Amount,Total Cost,Total Volume of Bookings
K1122,Overture - US,4.3E+16,fly to india,Standard,Unassigned,Unassigned,india,Position 5-10 Bid Strategy,Unassigned,Paused,$0.14 ,22,$9.15 ,$0.42 ,477,4.61%,4.03,0.00%,$0.00 ,$0.00 ,$9.15 ,0
K1123,Overture - Global,4.3E+16,aeroport lyon,Standard,Unassigned,Unassigned,lyon,Position 1-2 Target,Unassigned,Paused,$0.15 ,1,$0.18 ,$0.18 ,446,0.22%,1.77,0.00%,$0.00 ,$0.00 ,$0.18 ,0
K1123,Overture - Global,4.3E+16,calais flight,Standard,Unassigned,Unassigned,calais,Position 1-2 Target,Unassigned,Paused,$0.15 ,2,$0.26 ,$0.13 ,140,1.43%,1.74,0.00%,$0.00 ,$0.00 ,$0.26 ,0
K1123,Overture - Global,4.3E+16,atlanta to paris,Standard,Unassigned,Unassigned,paris,Position 1-2 Target,Unassigned,Sent,$0.15 ,6,$2.07 ,$0.35 ,859,0.70%,3.31,0.00%,$0.00 ,$0.00 ,$2.07 ,0
K1123,Overture - Global,4.3E+16,air france airway,Standard,Unassigned,Unassigned,airfrance,Position 1-2 Target,Unassigned,Paused,$0.15 ,15,$2.63 ,$0.18 ,864,1.74%,5.41,0.00%,$0.00 ,$0.00 ,$2.63 ,0
K1122,Overture - US,4.3E+16,international business class airfare,Standard,Unassigned,Unassigned,internationalgeneral,Position 5-10 Bid Strategy,Unassigned,Paused,$0.15 ,1,$0.14 ,$0.14 ,126,0.79%,3.37,0.00%,$0.00 ,$0.00 ,$0.14 ,0
K1122,Overture - US,4.3E+16,international airfare price,Standard,Unassigned,Unassigned,internationalgeneral,Position 5-10 Bid Strategy,Unassigned,Paused,$0.15 ,1,$0.31 ,$0.31 ,875,0.11%,3.87,0.00%,$0.00 ,$0.00 ,$0.31 ,0
K1122,Overture - US,4.3E+16,airplane ticket cost,Standard,Unassigned,Unassigned,airgeneral,Position 5-10 Bid Strategy,Unassigned,Paused,$0.15 ,1,$0.33 ,$0.33 ,248,0.40%,2.88,0.00%,$0.00 ,$0.00 ,$0.33 ,0
K1122,Overture - US,4.3E+16,marseille airport,Standard,Unassigned,Unassigned,marseille,Position 2-5 Bid Strategy,Unassigned,Paused,$0.15 ,1,$0.35 ,$0.35 ,400,0.25%,3.56,0.00%,$0.00 ,$0.00 ,$0.35 ,0
K1122,Overture - US,4.3E+16,houston to barcelona,Advanced,Unassigned,Unassigned,houston,Position 1-4 Bid Strategy,Unassigned,Paused,$0.15 ,3,$0.45 ,$0.15 ,976,0.31%,3.64,0.00%,$0.00 ,$0.00 ,$0.45 ,0
K1122,Overture - US,4.3E+16,international airfare ticket,Standard,Unassigned,Unassigned,internationalgeneral,Position 5-10 Bid Strategy,Unassigned,Paused,$0.15 ,1,$0.50 ,$0.50 ,134,0.75%,3.37,0.00%,$0.00 ,$0.00 ,$0.50 ,0
K1122,Overture - US,4.3E+16,air fare for international travel,Standard,Unassigned,Unassigned,airgeneral,Position 5-10 Bid Strategy,Unassigned,Paused,$0.15 ,2,$0.90 ,$0.45 ,215,0.93%,3.9,0.00%,$0.00 ,$0.00 ,$0.90 ,0
K1122,Overture - US,4.3E+16,new york to greece,Standard,Unassigned,Unassigned,greece,Position 5-10 Bid Strategy,Unassigned,Paused,$0.15 ,4,$2.83 ,$0.71 ,"1,247",0.32%,2.89,0.00%,$0.00 ,$0.00 ,$2.83 ,0
K1122,Overture - US,4.3E+16,international travel ticket,Standard,Unassigned,Unassigned,internationalgeneral,Position 5-10 Bid Strategy,Unassigned,Paused,$0.15 ,8,$3.70 ,$0.46 ,493,1.62%,2.98,0.00%,$0.00 ,$0.00 ,$3.70 ,0
K1122,Overture - US,4.3E+16,los angeles to paris flight,Standard,Unassigned,Unassigned,paris,Position 2-5 Bid Strategy,Unassigned,Paused,$0.15 ,5,$4.09 ,$0.82 ,80,6.25%,3.28,0.00%,$0.00 ,$0.00 ,$4.09 ,0
K1123,Overture - Global,4.3E+16,france information paris travel,Advanced,Unassigned,Unassigned,paris,Position 1-2 Target,Unassigned,Sent,$0.16 ,7,$1.40 ,$0.20 ,"2,350",0.30%,2.43,0.00%,$0.00 ,$0.00 ,$1.40 ,0
K1123,Overture - Global,4.3E+16,air france airfare,Advanced,Unassigned,Unassigned,airfrance,Position 1-2 Target,Unassigned,Paused,$0.16 ,6,$1.64 ,$0.27 ,152,3.95%,4.16,0.00%,$0.00 ,$0.00 ,$1.64 ,0
K1123,Overture - Global,4.3E+16,air france timetable,Standard,Unassigned,Unassigned,airfrance,Position 1-2 Target,Unassigned,Paused,$0.16 ,7,$1.67 ,$0.24 ,626,1.12%,2.8,0.00%,$0.00 ,$0.00 ,$1.67 ,0
K1123,Overture - Global,4.3E+16,roissy charles de gaulle,Advanced,Unassigned,Unassigned,franceairports,Position 1-2 Target,Unassigned,Paused,$0.16 ,9,$1.76 ,$0.20 ,"2,472",0.36%,2.56,0.00%,$0.00 ,$0.00 ,$1.76 ,0
K1122,Overture - US,4.3E+16,new york to lyon,Standard,Unassigned,Unassigned,lyon,Position 2-5 Bid Strategy,Unassigned,Paused,$0.16 ,1,$0.15 ,$0.15 ,375,0.27%,3.33,0.00%,$0.00 ,$0.00 ,$0.15 ,0
K1122,Overture - US,4.3E+16,air france airfare,Standard,Unassigned,Unassigned,airfrance,Position 2-5 Bid Strategy,Unassigned,Paused,$0.16 ,1,$0.16 ,$0.16 ,31,3.23%,3.58,0.00%,$0.00 ,$0.00 ,$0.16 ,0
K1122,Overture - US,4.3E+16,airline guide,Standard,Unassigned,Unassigned,airlinegeneral,Position 5-10 Bid Strategy,Unassigned,Paused,$0.16 ,1,$1.26 ,$1.26 ,"1,677",0.06%,3.8,0.00%,$0.00 ,$0.00 ,$1.26 ,0
K1122,Overture - US,4.3E+16,airline ticket rate,Standard,Unassigned,Unassigned,airlinegeneral,Position 5-10 Bid Strategy,Unassigned,Paused,$0.16 ,1,$1.26 ,$1.26 ,164,0.61%,3.63,0.00%,$0.00 ,$0.00 ,$1.26 ,0
K1122,Overture - US,4.3E+16,france fare,Standard,Unassigned,Unassigned,france,Position 2-5 Bid Strategy,Unassigned,Paused,$0.16 ,3,$1.43 ,$0.48 ,65,4.62%,2.2,0.00%,$0.00 ,$0.00 ,$1.43 ,0
K1122,Overture - US,4.3E+16,travel deal to paris france,Standard,Unassigned,Unassigned,paris,Position 2-5 Bid Strategy,Unassigned,Paused,$0.16 ,4,$2.51 ,$0.63 ,54,7.41%,2.53,0.00%,$0.00 ,$0.00 ,$2.51 ,0
K1122,Overture - US,4.3E+16,best airfare to paris,Standard,Unassigned,Unassigned,paris,Position 2-5 Bid Strategy,Unassigned,Paused,$0.16 ,5,$3.23 ,$0.65 ,60,8.33%,2.84,0.00%,$0.00 ,$0.00 ,$3.23 ,0
K1122,Overture - US,4.3E+16,french airline,Standard,Unassigned,Unassigned,french,Position 2-5 Bid Strategy,Unassigned,Paused,$0.16 ,43,$17.94 ,$0.42 ,"1,158",3.71%,3.74,0.00%,$0.00 ,$0.00 ,$17.94 ,0
K1123,Overture - Global,4.3E+16,deauville flight,Standard,Unassigned,Unassigned,deauville,Position 1-2 Target,Unassigned,Paused,$0.18 ,3,$0.44 ,$0.15 ,144,2.08%,2.31,0.00%,$0.00 ,$0.00 ,$0.44 ,0
K1123,Overture - Global,4.3E+16,avignon airport,Standard,Unassigned,Unassigned,avignon,Position 1-2 Target,Unassigned,Paused,$0.18 ,4,$0.73 ,$0.18 ,223,1.79%,1.82,0.00%,$0.00 ,$0.00 ,$0.73 ,0
K1123,Overture - Global,4.3E+16,poitiers flight,Standard,Unassigned,Unassigned,poitiers,Position 1-2 Target,Unassigned,Paused,$0.18 ,7,$1.55 ,$0.22 ,247,2.83%,2.15,0.00%,$0.00 ,$0.00 ,$1.55 ,0
K1123,Overture - Global,4.3E+16,air france airplane,Advanced,Unassigned,Unassigned,airfrance,Position 1-2 Target,Unassigned,Paused,$0.18 ,5,$1.74 ,$0.35 ,443,1.13%,2.29,0.00%,$0.00 ,$0.00 ,$1.74 ,0
K1123,Overture - Global,4.3E+16,best airfare to paris,Advanced,Unassigned,Unassigned,paris,Position 1-2 Target,Unassigned,Sent,$0.18 ,17,$8.86 ,$0.52 ,"10,203",0.17%,3.07,0.00%,$0.00 ,$0.00 ,$8.86 ,0
K1122,Overture - US,4.3E+16,air plane ticket prices,Standard,Unassigned,Unassigned,airgeneral,Position 5-10 Bid Strategy,Unassigned,Paused,$0.18 ,4,$0.91 ,$0.23 ,"3,217",0.12%,2.28,0.00%,$0.00 ,$0.00 ,$0.91 ,0
K1122,Overture - US,4.3E+16,air flight booking,Standard,Unassigned,Unassigned,airgeneral,Position 5-10 Bid Strategy,Unassigned,Paused,$0.18 ,2,$0.99 ,$0.49 ,95,2.11%,4.13,0.00%,$0.00 ,$0.00 ,$0.99 ,0
K1122,Overture - US,4.3E+16,cheap holidays to paris,Standard,Unassigned,Unassigned,paris,Position 2-5 Bid Strategy,Unassigned,Paused,$0.18 ,2,$1.15 ,$0.58 ,158,1.27%,2.76,0.00%,$0.00 ,$0.00 ,$1.15 ,0
K1122,Overture - US,4.3E+16,airfare web site,Standard,Unassigned,Unassigned,airfaregeneral,Position 5-10 Bid Strategy,Unassigned,Paused,$0.18 ,3,$2.85 ,$0.95 ,611,0.49%,4.07,0.00%,$0.00 ,$0.00 ,$2.85 ,0
K1123,Overture - Global,4.3E+16,air travel in france,Standard,Unassigned,Unassigned,france,Position 1-2 Target,Unassigned,Sent,$0.19 ,1,$0.31 ,$0.31 ,221,0.45%,3.7,0.00%,$0.00 ,$0.00 ,$0.31 ,0
K1123,Overture - Global,4.3E+16,aeroport roissy charles de gaulle,Standard,Unassigned,Unassigned,franceairports,Position 1-2 Target,Unassigned,Paused,$0.19 ,8,$3.31 ,$0.41 ,"2,683",0.30%,3.45,0.00%,$0.00 ,$0.00 ,$3.31 ,0
K1122,Overture - US,4.3E+16,air france flight information,Standard,Unassigned,Unassigned,airfrance,Position 2-5 Bid Strategy,Unassigned,Paused,$0.19 ,2,$0.74 ,$0.37 ,263,0.76%,3.46,0.00%,$0.00 ,$0.00 ,$0.74 ,0
K1122,Overture - US,4.3E+16,airline flight information,Standard,Unassigned,Unassigned,airlinegeneral,Position 5-10 Bid Strategy,Unassigned,Paused,$0.19 ,2,$1.64 ,$0.82 ,"4,047",0.05%,3.24,0.00%,$0.00 ,$0.00 ,$1.64 ,0
K1122,Overture - US,4.3E+16,international airline fare,Standard,Unassigned,Unassigned,internationalgeneral,Position 5-10 Bid Strategy,Unassigned,Paused,$0.19 ,5,$1.74 ,$0.35 ,277,1.81%,3.85,0.00%,$0.00 ,$0.00 ,$1.74 ,0
K1122,Overture - US,4.3E+16,international airline flight,Standard,Unassigned,Unassigned,internationalgeneral,Position 5-10 Bid Strategy,Unassigned,Paused,$0.19 ,5,$2.19 ,$0.44 ,844,0.59%,4.02,0.00%,$0.00 ,$0.00 ,$2.19 ,0
K1122,Overture - US,4.3E+16,flight france nice,Standard,Unassigned,Unassigned,nice,Position 2-5 Bid Strategy,Unassigned,Paused,$0.19 ,5,$2.21 ,$0.44 ,78,6.41%,2.64,0.00%,$0.00 ,$0.00 ,$2.21 ,0
K1122,Overture - US,4.3E+16,discount england flight,Advanced,Unassigned,Unassigned,discount,Position 5-10 Bid Strategy,Unassigned,Paused,$0.19 ,4,$2.94 ,$0.73 ,169,2.37%,3.08,0.00%,$0.00 ,$0.00 ,$2.94 ,0
K1122,Overture - US,4.3E+16,cheap airline ticket uk,Advanced,Unassigned,Unassigned,uk,Position 5-10 Bid Strategy,Unassigned,Unavailable,$0.19 ,7,$3.65 ,$0.52 ,655,1.07%,3.23,0.00%,$0.00 ,$0.00 ,$3.65 ,0
K1122,Overture - US,4.3E+16,airline flight italy,Advanced,Unassigned,Unassigned,italy,Position 5-10 Bid Strategy,Unassigned,Paused,$0.19 ,8,$4.31 ,$0.54 ,195,4.10%,3.22,0.00%,$0.00 ,$0.00 ,$4.31 ,0
K1122,Overture - US,4.3E+16,cheap airline ticket to italy,Advanced,Unassigned,Unassigned,italy,Position 5-10 Bid Strategy,Unassigned,Paused,$0.19 ,18,$12.32 ,$0.68 ,379,4.75%,2.67,0.00%,$0.00 ,$0.00 ,$12.32 ,0
K1123,Overture - Global,4.3E+16,rodez flight,Standard,Unassigned,Unassigned,rodez,Position 1-2 Target,Unassigned,Paused,$0.20 ,3,$0.47 ,$0.16 ,116,2.59%,1.58,0.00%,$0.00 ,$0.00 ,$0.47 ,0
K1123,Overture - Global,4.3E+16,toulouse cheap ticket,Standard,Unassigned,Unassigned,toulouse,Position 1-2 Target,Unassigned,Paused,$0.20 ,1,$0.51 ,$0.51 ,142,0.70%,2.98,0.00%,$0.00 ,$0.00 ,$0.51 ,0
K1123,Overture - Global,4.3E+16,reims flight,Standard,Unassigned,Unassigned,reims,Position 1-2 Target,Unassigned,Paused,$0.20 ,4,$2.05 ,$0.51 ,218,1.83%,2.06,0.00%,$0.00 ,$0.00 ,$2.05 ,0
K1123,Overture - Global,4.3E+16,paris orly airport,Advanced,Unassigned,Unassigned,franceairports,Position 1-2 Target,Unassigned,Paused,$0.20 ,7,$5.04 ,$0.72 ,"2,314",0.30%,1.82,0.00%,$0.00 ,$0.00 ,$5.04 ,0
K1122,Overture - US,4.3E+16,air travel booking,Standard,Unassigned,Unassigned,airgeneral,Position 5-10 Bid Strategy,Unassigned,Paused,$0.20 ,1,$0.49 ,$0.49 ,481,0.21%,3.6,0.00%,$0.00 ,$0.00 ,$0.49 ,0
K1122,Overture - US,4.3E+16,hamburg cheap ticket,Advanced,Unassigned,Unassigned,hamburg,Position 5-10 Bid Strategy,Unassigned,Paused,$0.20 ,1,$0.51 ,$0.51 ,24,4.17%,1.67,0.00%,$0.00 ,$0.00 ,$0.51 ,0
K1122,Overture - US,4.3E+16,cheapest flight to greece,Advanced,Unassigned,Unassigned,greece,Position 5-10 Bid Strategy,Unassigned,Paused,$0.20 ,4,$1.10 ,$0.28 ,188,2.13%,2.68,0.00%,$0.00 ,$0.00 ,$1.10 ,0
K1122,Overture - US,4.3E+16,air flight fare,Standard,Unassigned,Unassigned,airgeneral,Position 5-10 Bid Strategy,Unassigned,Paused,$0.20 ,4,$1.26 ,$0.32 ,859,0.47%,2.5,0.00%,$0.00 ,$0.00 ,$1.26 ,0
K1122,Overture - US,4.3E+16,air discount flight ticket,Standard,Unassigned,Unassigned,airgeneral,Position 5-10 Bid Strategy,Unassigned,Paused,$0.20 ,1,$1.39 ,$1.39 ,153,0.65%,4.11,0.00%,$0.00 ,$0.00 ,$1.39 ,0
K1122,Overture - US,4.3E+16,air ticket booking,Standard,Unassigned,Unassigned,airgeneral,Position 5-10 Bid Strategy,Unassigned,Paused,$0.20 ,8,$5.43 ,$0.68 ,"1,168",0.68%,4.23,0.00%,$0.00 ,$0.00 ,$5.43 ,0
K1122,Overture - US,4.3E+16,paris charles de gaulle airport,Standard,Unassigned,Unassigned,paris,Position 2-5 Bid Strategy,Unassigned,Paused,$0.20 ,6,$5.84 ,$0.97 ,"2,728",0.22%,2.35,0.00%,$0.00 ,$0.00 ,$5.84 ,0
K1122,Overture - US,4.3E+16,low airfare to europe,Advanced,Unassigned,Unassigned,airfare,Position 5-10 Bid Strategy,Unassigned,Paused,$0.20 ,16,$8.68 ,$0.54 ,422,3.79%,1.87,0.00%,$0.00 ,$0.00 ,$8.68 ,0
K1122,Overture - US,4.3E+16,discounted international airline ticket,Standard,Unassigned,Unassigned,discountgeneral,Position 5-10 Bid Strategy,Unassigned,Paused,$0.20 ,7,$9.01 ,$1.29 ,158,4.43%,3.3,0.00%,$0.00 ,$0.00 ,$9.01 ,0
K1122,Overture - US,4.3E+16,discount flight to italy,Advanced,Unassigned,Unassigned,discount,Position 5-10 Bid Strategy,Unassigned,Paused,$0.20 ,22,$12.55 ,$0.57 ,243,9.05%,1.54,0.00%,$0.00 ,$0.00 ,$12.55 ,0
K1123,Overture - Global,4.3E+16,travel to lourdes france,Standard,Unassigned,Unassigned,lourdes,Position 1-2 Target,Unassigned,Paused,$0.21 ,4,$0.99 ,$0.25 ,495,0.81%,2.51,0.00%,$0.00 ,$0.00 ,$0.99 ,0
K1123,Overture - Global,4.3E+16,air discount france ticket,Standard,Unassigned,Unassigned,france,Position 1-2 Target,Unassigned,Sent,$0.21 ,4,$1.30 ,$0.33 ,302,1.32%,2.68,0.00%,$0.00 ,$0.00 ,$1.30 ,0
K1123,Overture - Global,4.3E+16,degaulle airport,Standard,Unassigned,Unassigned,franceairports,Position 1-2 Target,Unassigned,Paused,$0.21 ,6,$1.74 ,$0.29 ,321,1.87%,2.08,0.00%,$0.00 ,$0.00 ,$1.74 ,0
K1123,Overture - Global,4.3E+16,air france travel agent,Advanced,Unassigned,Unassigned,airfrance,Position 1-2 Target,Unassigned,Paused,$0.21 ,5,$2.03 ,$0.41 ,564,0.89%,1.64,0.00%,$0.00 ,$0.00 ,$2.03 ,0
K1123,Overture - Global,4.3E+16,charles de gaulle international airport,Advanced,Unassigned,Unassigned,franceairports,Position 1-2 Target,Unassigned,Paused,$0.21 ,14,$4.74 ,$0.34 ,"2,187",0.64%,2.05,0.00%,$0.00 ,$0.00 ,$4.74 ,0
K1122,Overture - US,4.3E+16,airfare site,Standard,Unassigned,Unassigned,airfaregeneral,Position 5-10 Bid Strategy,Unassigned,Paused,$0.21 ,1,$0.23 ,$0.23 ,238,0.42%,4.31,0.00%,$0.00 ,$0.00 ,$0.23 ,0
K1122,Overture - US,4.3E+16,airline flight reservation,Standard,Unassigned,Unassigned,airlinegeneral,Position 5-10 Bid Strategy,Unassigned,Paused,$0.21 ,1,$0.53 ,$0.53 ,701,0.14%,4.26,0.00%,$0.00 ,$0.00 ,$0.53 ,0
K1122,Overture - US,4.3E+16,discounted international travel,Standard,Unassigned,Unassigned,discountgeneral,Position 5-10 Bid Strategy,Unassigned,Paused,$0.21 ,1,$0.83 ,$0.83 ,38,2.63%,3.21,0.00%,$0.00 ,$0.00 ,$0.83 ,0
K1122,Overture - US,4.3E+16,cheap airline france,Standard,Unassigned,Unassigned,france,Position 2-5 Bid Strategy,Unassigned,Paused,$0.21 ,2,$0.86 ,$0.43 ,103,1.94%,5.03,0.00%,$0.00 ,$0.00 ,$0.86 ,0
K1122,Overture - US,4.3E+16,air ticket reservation,Standard,Unassigned,Unassigned,airgeneral,Position 5-10 Bid Strategy,Unassigned,Paused,$0.21 ,2,$1.13 ,$0.56 ,245,0.82%,3.08,0.00%,$0.00 ,$0.00 ,$1.13 ,0
K1122,Overture - US,4.3E+16,lyon airport,Standard,Unassigned,Unassigned,lyon,Position 2-5 Bid Strategy,Unassigned,Paused,$0.21 ,5,$1.64 ,$0.33 ,618,0.81%,2.5,0.00%,$0.00 ,$0.00 ,$1.64 ,0
K1122,Overture - US,4.3E+16,india flight deal,Standard,Unassigned,Unassigned,india,Position 5-10 Bid Strategy,Unassigned,Paused,$0.21 ,7,$2.77 ,$0.40 ,135,5.19%,2.71,0.00%,$0.00 ,$0.00 ,$2.77 ,0
K1122,Overture - US,4.3E+16,athens airport,Advanced,Unassigned,Unassigned,athens,Position 5-10 Bid Strategy,Unassigned,Paused,$0.21 ,14,$2.82 ,$0.20 ,"4,023",0.35%,3.63,0.00%,$0.00 ,$0.00 ,$2.82 ,0
K1122,Overture - US,4.3E+16,cheap airline ticket spain,Advanced,Unassigned,Unassigned,spain,Position 5-10 Bid Strategy,Unassigned,Paused,$0.21 ,21,$20.36 ,$0.97 ,684,3.07%,2.61,0.00%,$0.00 ,$0.00 ,$20.36 ,0
K1122,Overture - US,4.3E+16,cheap airfare to spain,Advanced,Unassigned,Unassigned,spain,Position 5-10 Bid Strategy,Unassigned,Paused,$0.21 ,29,$27.22 ,$0.94 ,506,5.73%,1.68,0.00%,$0.00 ,$0.00 ,$27.22 ,0
K1123,Overture - Global,4.3E+16,bergerac flight,Standard,Unassigned,Unassigned,bergerac,Position 1-2 Target,Unassigned,Paused,$0.23 ,11,$3.89 ,$0.35 ,622,1.77%,1.69,0.00%,$0.00 ,$0.00 ,$3.89 ,0
K1122,Overture - US,4.3E+16,international airfare special,Standard,Unassigned,Unassigned,internationalgeneral,Position 5-10 Bid Strategy,Unassigned,Paused,$0.23 ,1,$0.24 ,$0.24 ,91,1.10%,3,0.00%,$0.00 ,$0.00 ,$0.24 ,0
K1122,Overture - US,4.3E+16,air plane ticket cheap,Standard,Unassigned,Unassigned,airgeneral,Position 5-10 Bid Strategy,Unassigned,Paused,$0.23 ,1,$0.60 ,$0.60 ,624,0.16%,3.83,0.00%,$0.00 ,$0.00 ,$0.60 ,0
K1122,Overture - US,4.3E+16,air line ticket prices,Standard,Unassigned,Unassigned,airlinegeneral,Position 5-10 Bid Strategy,Unassigned,Paused,$0.23 ,5,$1.05 ,$0.21 ,"3,295",0.15%,2.19,0.00%,$0.00 ,$0.00 ,$1.05 ,0
K1122,Overture - US,4.3E+16,air france flight schedule,Standard,Unassigned,Unassigned,airfrance,Position 2-5 Bid Strategy,Unassigned,Paused,$0.23 ,4,$1.50 ,$0.38 ,640,0.63%,2.4,0.00%,$0.00 ,$0.00 ,$1.50 ,0
K1122,Overture - US,4.3E+16,airline ticket cheap airfare,Standard,Unassigned,Unassigned,airlinegeneral,Position 5-10 Bid Strategy,Unassigned,Paused,$0.23 ,2,$1.90 ,$0.95 ,"4,256",0.05%,2.47,0.00%,$0.00 ,$0.00 ,$1.90 ,0
K1122,Overture - US,4.3E+16,cheap airline ticket to germany,Advanced,Unassigned,Unassigned,germany,Position 5-10 Bid Strategy,Unassigned,Paused,$0.23 ,44,$28.75 ,$0.65 ,842,5.23%,2.05,0.00%,$0.00 ,$0.00 ,$28.75 ,0
K1122,Overture - US,4.3E+16,airline ticket to spain,Advanced,Unassigned,Unassigned,spain,Position 5-10 Bid Strategy,Unassigned,Paused,$0.23 ,35,$37.98 ,$1.09 ,522,6.70%,3.89,0.00%,$0.00 ,$0.00 ,$37.98 ,0
K1123,Overture - Global,4.3E+16,discount airline france,Standard,Unassigned,Unassigned,france,Position 1-2 Target,Unassigned,Sent,$0.24 ,2,$1.19 ,$0.59 ,492,0.41%,3.92,0.00%,$0.00 ,$0.00 ,$1.19 ,0
K1123,Overture - Global,4.3E+16,nice airport,Standard,Unassigned,Unassigned,nice,Position 1-2 Target,Unassigned,Paused,$0.24 ,17,$3.79 ,$0.22 ,"19,322",0.09%,2.4,0.00%,$0.00 ,$0.00 ,$3.79 ,0
K1123,Overture - Global,4.3E+16,cheap airline france,Advanced,Unassigned,Unassigned,france,Position 1-2 Target,Unassigned,Sent,$0.24 ,8,$4.75 ,$0.59 ,344,2.33%,3.72,0.00%,$0.00 ,$0.00 ,$4.75 ,0
K1122,Overture - US,4.3E+16,airfare ticket for sale,Standard,Unassigned,Unassigned,airfaregeneral,Position 5-10 Bid Strategy,Unassigned,Paused,$0.24 ,1,$0.56 ,$0.56 ,199,0.50%,3.94,0.00%,$0.00 ,$0.00 ,$0.56 ,0
K1122,Overture - US,4.3E+16,discounted international flight,Standard,Unassigned,Unassigned,discountgeneral,Position 5-10 Bid Strategy,Unassigned,Paused,$0.24 ,4,$2.46 ,$0.62 ,158,2.53%,3.26,0.00%,$0.00 ,$0.00 ,$2.46 ,0
K1122,Overture - US,4.3E+16,airline reservation system,Standard,Unassigned,Unassigned,airlinegeneral,Position 5-10 Bid Strategy,Unassigned,Paused,$0.24 ,10,$2.53 ,$0.25 ,"26,870",0.04%,1.49,0.00%,$0.00 ,$0.00 ,$2.53 ,0
K1122,Overture - US,4.3E+16,french travel,Standard,Unassigned,Unassigned,french,Position 2-5 Bid Strategy,Unassigned,Paused,$0.24 ,7,$3.11 ,$0.44 ,577,1.21%,2.96,0.00%,$0.00 ,$0.00 ,$3.11 ,0
K1122,Overture - US,4.3E+16,airfare deal to europe,Standard,Unassigned,Unassigned,airfaregeneral,Position 5-10 Bid Strategy,Unassigned,Paused,$0.24 ,8,$3.58 ,$0.45 ,319,2.51%,3.14,0.00%,$0.00 ,$0.00 ,$3.58 ,0
K1122,Overture - US,4.3E+16,airplane ticket prices,Standard,Unassigned,Unassigned,airgeneral,Position 5-10 Bid Strategy,Unassigned,Paused,$0.24 ,9,$8.82 ,$0.98 ,"3,232",0.28%,2.92,0.00%,$0.00 ,$0.00 ,$8.82 ,0
K1122,Overture - US,4.3E+16,cheapest airfare europe,Advanced,Unassigned,Unassigned,europe,Position 5-10 Bid Strategy,Unassigned,Paused,$0.24 ,27,$19.65 ,$0.73 ,412,6.55%,1.41,0.00%,$0.00 ,$0.00 ,$19.65 ,0
K1123,Overture - Global,4.3E+16,airline in france,Standard,Unassigned,Unassigned,airfrance,Position 1-2 Target,Unassigned,Paused,$0.25 ,14,$5.20 ,$0.37 ,"1,214",1.15%,4.16,0.00%,$0.00 ,$0.00 ,$5.20 ,0
K1122,Overture - US,4.3E+16,air france vacation,Standard,Unassigned,Unassigned,airfrance,Position 2-5 Bid Strategy,Unassigned,Paused,$0.25 ,27,$18.96 ,$0.70 ,"1,273",2.12%,2.84,0.00%,$0.00 ,$0.00 ,$18.96 ,0
K1122,Overture - US,4.3E+16,international airplane ticket,Standard,Unassigned,Unassigned,internationalgeneral,Position 5-10 Bid Strategy,Unassigned,Paused,$0.25 ,9,$23.27 ,$2.59 ,594,1.52%,3.06,0.00%,$0.00 ,$0.00 ,$23.27 ,0
K1123,Overture - Global,4.3E+16,cheap air france flight,Standard,Unassigned,Unassigned,airfrance,Position 1-2 Target,Unassigned,Paused,$0.26 ,2,$1.70 ,$0.85 ,359,0.56%,2.68,0.00%,$0.00 ,$0.00 ,$1.70 ,0
K1123,Overture - Global,4.3E+16,cheap flight from paris,Advanced,Unassigned,Unassigned,flight,Position 1-2 Target,Unassigned,Paused,$0.26 ,8,$2.25 ,$0.28 ,569,1.41%,2.5,0.00%,$0.00 ,$0.00 ,$2.25 ,0
K1123,Overture - Global,4.3E+16,mulhouse flight,Standard,Unassigned,Unassigned,mulhouse,Position 1-2 Target,Unassigned,Paused,$0.26 ,6,$3.08 ,$0.51 ,457,1.31%,1.9,0.00%,$0.00 ,$0.00 ,$3.08 ,0
K1123,Overture - Global,4.3E+16,orly airport,Standard,Unassigned,Unassigned,franceairports,Position 1-2 Target,Unassigned,Paused,$0.26 ,22,$3.74 ,$0.17 ,"4,101",0.54%,2.14,0.00%,$0.00 ,$0.00 ,$3.74 ,0
K1123,Overture - Global,4.3E+16,airport in paris,Standard,Unassigned,Unassigned,paris,Position 1-2 Target,Unassigned,Sent,$0.26 ,17,$4.82 ,$0.28 ,"1,767",0.96%,2.67,0.00%,$0.00 ,$0.00 ,$4.82 ,0
K1123,Overture - Global,4.3E+16,air fare paris france,Advanced,Unassigned,Unassigned,paris,Position 1-2 Target,Unassigned,Sent,$0.26 ,16,$8.29 ,$0.52 ,"6,643",0.24%,2.36,0.00%,$0.00 ,$0.00 ,$8.29 ,0
K1123,Overture - Global,4.3E+16,cdg flight,Advanced,Unassigned,Unassigned,franceairports,Position 1-2 Target,Unassigned,Paused,$0.26 ,106,$26.60 ,$0.25 ,701,15.12%,1.32,0.00%,$0.00 ,$0.00 ,$26.60 ,0
