Publisher ID,Publisher Name,Keyword ID,Keyword,Match Type,Campaign,Keyword Group,Category,Bid Strategy,Keyword Type,Status,Search Engine Bid,Clicks,Click Charges,Avg. Cost per Click,Impressions,Engine Click Thru %,Avg. Pos.,Trans. Conv. %,Total Cost/ Trans,Amount,Total Cost,Total Volume of Bookings
K435,Google - US,4.3E+16,international airfares,Broad,Geo Targeted Detroit,International Detroit,uncategorized,Position 5-10 Bid Strategy,Unassigned,Unavailable,$6.25 ,2,$6.60 ,$3.30 ,79,2.53%,3.01,50.00%,$6.60 ,$923.95 ,$6.60 ,1
K435,Google - US,4.3E+16,france air ticket,Broad,Geo Targeted New York,New York to France Sale,uncategorized,Position 5-10 Bid Strategy,Unassigned,Live,$6.25 ,12,$19.40 ,$1.62 ,116,10.34%,1.09,33.33%,$4.85 ,"$2,706.40 ",$19.40 ,4
K1122,Overture - US,4.3E+16,airfrance.com/us,Standard,Unassigned,Unassigned,airfrance,,Unassigned,Paused,$7.50 ,17,$5.59 ,$0.33 ,98,17.35%,0.96,5.88%,$5.59 ,$778.60 ,$5.59 ,1
K435,Google - US,4.3E+16,paris cheap ticket,Broad,Geo Targeted Boston,Boston to Paris Sale,uncategorized,Position 5-10 Bid Strategy,Unassigned,Paused,$6.25 ,3,$5.14 ,$1.71 ,18,16.67%,1.83,33.33%,$5.14 ,$676.60 ,$5.14 ,1
K435,Google - US,4.3E+16,paris cheap flights,Broad,Geo Targeted Houston,Houston to Paris Sale,uncategorized,Position 5-10 Bid Strategy,Unassigned,Paused,$6.25 ,21,$43.39 ,$2.07 ,174,12.07%,1.32,14.29%,$14.46 ,"$5,638.05 ",$43.39 ,3
K1122,Overture - US,4.3E+16,tunis,Standard,Unassigned,Unassigned,regional,Position 1-4 Bid Strategy,Unassigned,Paused,$11.25 ,36,$25.37 ,$0.70 ,832,4.33%,1.41,8.33%,$8.46 ,"$3,254.65 ",$25.37 ,3
K2615,Yahoo - US,4.3E+16,france travel agency,Standard,Paris & France Terms,France,uncategorized,,Unassigned,Live,$6.25 ,5,$15.44 ,$3.09 ,167,2.99%,1.24,40.00%,$7.72 ,"$1,978.80 ",$15.44 ,2
K1175,Google - Global,4.3E+16,air france airlines,Broad,Air France Global Campaign,Air France,airfrance,Position 1- 3,Unassigned,Unavailable,$1.25 ,228,$55.31 ,$0.24 ,"3,747",6.08%,1.42,1.75%,$13.83 ,"$6,873.10 ",$55.31 ,4
K1175,Google - Global,4.3E+16,lyon airfare,Broad,Air France Global Campaign,Lyon,lyon,Position 1- 3,Unassigned,Unavailable,$1.25 ,12,$15.02 ,$1.25 ,"1,030",1.17%,1.31,16.67%,$7.51 ,"$1,836.00 ",$15.02 ,2
K1123,Overture - Global,4.3E+16,air france web site,Standard,Unassigned,Unassigned,airfrance,Position 1-2 Target,Unassigned,Paused,$0.29 ,17,$5.39 ,$0.32 ,752,2.26%,2.22,5.88%,$5.39 ,$637.50 ,$5.39 ,1
K1175,Google - Global,4.3E+16,cont:air france global campaign::france,N/A,Air France Global Campaign,France,uncategorized,,Unassigned,Unavailable,$7.50 ,49,$11.00 ,$0.22 ,"4,780",1.03%,4.84,2.04%,$11.00 ,"$1,296.25 ",$11.00 ,1
K435,Google - US,4.3E+16,airfrance.com,Broad,Air France Branded,Air France Website,uncategorized,,Unassigned,Live,$10.00 ,"1,260",$365.80 ,$0.29 ,"6,231",20.22%,1.01,2.54%,$11.43 ,"$42,538.25 ",$365.80 ,32
K2615,Yahoo - US,4.3E+16,airfrance.us,Advanced,Air France Branded,Air France Website,uncategorized,,Unassigned,Live,$7.50 ,242,$87.57 ,$0.36 ,"1,371",17.65%,1.02,5.79%,$6.26 ,"$10,140.50 ",$87.57 ,14
K435,Google - US,4.3E+16,book airfrance,Broad,Air France Branded,Air France Brand,uncategorized,Position 1 -2 Target,Unassigned,Live,$10.00 ,4,$6.00 ,$1.50 ,43,9.30%,1.09,25.00%,$6.00 ,$671.50 ,$6.00 ,1
K1175,Google - Global,4.3E+16,nice flight,Broad,Air France Global Campaign,Nice,nice,Position 1- 3,Unassigned,Unavailable,$1.25 ,28,$36.42 ,$1.30 ,"2,356",1.19%,1.55,10.71%,$12.14 ,"$3,944.00 ",$36.42 ,3
K435,Google - US,4.3E+16,airfrance.us,Broad,Air France Branded,Air France Website,uncategorized,,Unassigned,Live,$10.00 ,25,$6.95 ,$0.28 ,132,18.94%,1,4.00%,$6.95 ,$751.40 ,$6.95 ,1
K2615,Yahoo - US,4.3E+16,rome travel,Advanced,Western Europe Destinations,Rome,uncategorized,,Unassigned,Live,$2.70 ,27,$56.41 ,$2.09 ,"1,051",2.57%,2.86,14.81%,$14.10 ,"$5,729.00 ",$56.41 ,4
K435,Google - US,4.3E+16,rabat flights,Broad,Google_Yearlong 2006,Google|rabat,uncategorized,Postiion 1-4 Bid Strategy,Unassigned,Paused,$6.25 ,11,$14.07 ,$1.28 ,361,3.05%,1.14,9.09%,$14.07 ,"$1,402.50 ",$14.07 ,1
K2615,Yahoo - US,4.3E+16,"airfrance,com",Advanced,Air France Branded,Air France Website,uncategorized,,Unassigned,Live,$7.50 ,48,$7.31 ,$0.15 ,298,16.11%,1,2.08%,$7.31 ,$718.25 ,$7.31 ,1
K1123,Overture - Global,4.3E+16,air france phone number,Standard,Unassigned,Unassigned,airfrance,Position 1-2 Target,Unassigned,Paused,$0.13 ,65,$9.71 ,$0.15 ,"1,831",3.55%,2.48,1.54%,$9.71 ,$947.75 ,$9.71 ,1
K1122,Overture - US,4.3E+16,airline ticket to france,Standard,Unassigned,Unassigned,france,Position 1-4 Bid Strategy,Unassigned,Paused,$1.26 ,14,$10.26 ,$0.73 ,225,6.22%,2.1,7.14%,$10.26 ,$991.10 ,$10.26 ,1
K1175,Google - Global,4.3E+16,airfrance com,Broad,Air France Global Campaign,Air France Website,airfrancewebsite,Position 1- 3,Unassigned,Unavailable,$2.50 ,548,$247.94 ,$0.45 ,"2,919",18.77%,1.47,2.19%,$20.66 ,"$23,041.80 ",$247.94 ,12
K1123,Overture - Global,4.3E+16,new york to paris,Advanced,Unassigned,Unassigned,paris,Position 1-2 Target,Unassigned,Sent,$0.73 ,39,$24.44 ,$0.63 ,"2,364",1.65%,3.63,2.56%,$24.44 ,"$2,226.15 ",$24.44 ,1
K435,Google - US,4.3E+16,cont:google_yearlong 2006::google|europe,N/A,Google_Yearlong 2006,Google|Europe,uncategorized,,Unassigned,Unavailable,$7.50 ,112,$31.65 ,$0.28 ,"157,285",0.07%,2.31,0.89%,$31.65 ,"$2,882.35 ",$31.65 ,1
K435,Google - US,4.3E+16,airfrance,Broad,Air France Branded,Air France Brand,uncategorized,,Unassigned,Live,$27.50 ,"11,789","$2,412.51 ",$0.20 ,"78,814",14.96%,1.13,1.85%,$11.07 ,"$216,915.75 ","$2,412.51 ",218
K1123,Overture - Global,4.3E+16,cheap travel france,Advanced,Unassigned,Unassigned,france,Position 1-2 Target,Unassigned,Sent,$0.48 ,20,$10.40 ,$0.52 ,501,3.99%,2.12,5.00%,$10.40 ,$935.00 ,$10.40 ,1
K435,Google - US,4.3E+16,paris flight,Broad,Geo Targeted Philadelphia,Philadelphia to Paris Sale,uncategorized,Position 5-10 Bid Strategy,Unassigned,Paused,$6.25 ,2,$4.89 ,$2.44 ,38,5.26%,1.71,50.00%,$4.89 ,$434.35 ,$4.89 ,1
K1123,Overture - Global,4.3E+16,airfrance.us,Advanced,Unassigned,Unassigned,airfrancewebsite,Position 1-2 Target,Unassigned,Paused,$0.14 ,207,$34.87 ,$0.17 ,"1,100",18.82%,1.17,1.93%,$8.72 ,"$3,035.35 ",$34.87 ,4
K435,Google - US,4.3E+16,airfrance airlines,Broad,Air France Branded,Air France Brand,uncategorized,Position 1 -2 Target,Unassigned,Live,$0.35 ,116,$59.35 ,$0.51 ,776,14.95%,1.3,4.31%,$11.87 ,"$5,146.75 ",$59.35 ,5
K435,Google - US,4.3E+16,florence cheap tickets,Broad,Geo Targeted New York,New York to Florence Sale,uncategorized,Position 5-10 Bid Strategy,Unassigned,Unavailable,$6.25 ,3,$5.97 ,$1.99 ,6,50.00%,2,33.33%,$5.97 ,$490.45 ,$5.97 ,1
K2615,Yahoo - US,4.3E+16,air france travel,Advanced,Air France Branded,Air France Brand,uncategorized,,Unassigned,Live,$6.25 ,24,$33.79 ,$1.41 ,"1,171",2.05%,3.07,4.17%,$33.79 ,"$2,772.70 ",$33.79 ,1
K435,Google - US,4.3E+16,rome fare,Broad,Google_Yearlong 2006,Google|Rome,uncategorized,Postiion 1-4 Bid Strategy,Unassigned,Paused,$6.25 ,14,$20.11 ,$1.44 ,310,4.52%,1.49,7.14%,$20.11 ,"$1,489.20 ",$20.11 ,1
K435,Google - US,4.3E+16,air france com,Broad,Air France Branded,Air France Website,uncategorized,Postiion 1-4 Bid Strategy,Unassigned,Live,$15.00 ,"6,119","$1,905.86 ",$0.31 ,"15,166",40.35%,1.04,1.91%,$16.29 ,"$132,065.35 ","$1,905.86 ",117
K2966,MSN - US,4.3E+16,air travel in france,Broad,Air France Brand & French Destinations,France,uncategorized,,Unassigned,Live,$0.00 ,2,$7.56 ,$3.78 ,35,5.71%,6.08,50.00%,$7.56 ,$512.55 ,$7.56 ,1
